Pergunta|Resposta
O que é ETL e como ele se diferencia de ELT?|ETL (Extract, Transform, Load) é um processo onde os dados são extraídos, transformados e depois carregados em um data warehouse. ELT (Extract, Load, Transform) inverte essa ordem, carregando os dados brutos diretamente no data warehouse e transformando-os lá, aproveitando a capacidade de processamento do banco de dados.
Como o SQL é usado na transformação de dados no processo ETL?|No processo ETL, o SQL é usado para escrever procedimentos armazenados que transformam dados brutos em informações úteis. Isso inclui operações de limpeza, agregação, normalização e aplicação de regras de negócios.
Quais são os benefícios de usar Power BI para visualização de dados?|Power BI oferece uma interface amigável, capacidade de criar dashboards interativos e atualizações em tempo real. Ele permite a integração com diversas fontes de dados e a incorporação de scripts R para análises avançadas.
Como o R pode ser integrado ao Power BI?|O R pode ser integrado ao Power BI através de scripts incorporados nas visualizações. Isso permite realizar análises estatísticas avançadas e criar visualizações personalizadas diretamente nos dashboards do Power BI.
O que é um data warehouse e qual é seu papel no ELT?|Um data warehouse é um repositório central de dados que agrega informações de várias fontes para análise e relatórios. No ELT, ele armazena dados brutos que são posteriormente transformados e analisados, aproveitando sua capacidade de processamento.
Quais são as vantagens de usar ELT em vez de ETL?|ELT oferece maior flexibilidade e escalabilidade, permitindo que as transformações sejam realizadas diretamente no data warehouse. Isso reduz a complexidade da infraestrutura e pode acelerar o processamento de grandes volumes de dados.
Como a normalização de dados é realizada no processo ETL?|A normalização de dados no ETL é feita usando SQL para reorganizar os dados em tabelas relacionais, eliminando redundâncias e assegurando a consistência dos dados. Isso facilita a manutenção e a integridade dos dados.
O que é um índice em um banco de dados e qual é sua função?|Um índice é uma estrutura de dados que melhora a velocidade das operações de consulta em uma tabela de banco de dados. Ele permite um acesso mais rápido aos registros e pode ser baseado em uma ou mais colunas.
Qual é o papel dos planos de execução em SQL?|Os planos de execução são uma representação detalhada de como o SQL Server executará uma consulta. Eles ajudam a identificar gargalos e otimizar o desempenho das consultas, mostrando as etapas envolvidas no processamento.
Como os outliers são identificados em uma análise de dados?|Os outliers podem ser identificados usando métodos estatísticos como o desvio padrão ou os quartis. Em R, por exemplo, pode-se usar funções que calculam essas medidas e detectam valores anômalos que estão fora do intervalo esperado.
Explique a diferença entre média, mediana e moda.|A média é a soma dos valores dividida pelo número de valores. A mediana é o valor central quando os dados são ordenados. A moda é o valor mais frequente nos dados. Cada uma oferece uma perspectiva diferente sobre a tendência central dos dados.
O que é uma junção (JOIN) em SQL e por que ela é importante?|Uma junção (JOIN) em SQL é usada para combinar registros de duas ou mais tabelas com base em uma condição relacionada. Ela é essencial para relacionar dados distribuídos em diferentes tabelas e criar conjuntos de dados completos para análise.
Como a discretização de dados é realizada usando a cláusula CASE em SQL?|A cláusula CASE em SQL permite criar novas categorias de dados com base em condições especificadas. Isso é útil para discretizar dados contínuos em intervalos definidos, facilitando a análise e interpretação.
Qual a importância das transações em um banco de dados?|Transações garantem que um conjunto de operações de banco de dados seja executado de maneira atômica e consistente. Elas asseguram que todas as operações sejam concluídas com sucesso ou revertidas em caso de falha, mantendo a integridade dos dados.
